OBJECTID,Id,gridcode,ShapeLongi,ShapeLatit,Shape_Leng,Shape_Area,Longitude,Latitude
17238,778719,42496888,-133.4547168,54.59222598,14816,13719616,-133.4547168,54.59222598
17239,778720,63778024,-133.4001811,54.58207663,14816,13719616,-133.4001811,54.58207663
17240,778721,52962340,-133.345674,54.5719011,14816,13719616,-133.345674,54.5719011
17241,778722,50154112,-133.2911957,54.56169939,14816,13719616,-133.2911957,54.56169939
17242,778723,66747576,-133.2367462,54.55147153,14816,13719616,-133.2367462,54.55147153
17243,778724,24266144,-133.1823256,54.54121754,14816,13719616,-133.1823256,54.54121754
17244,778725,23659536,-133.1279338,54.53093743,14816,13719616,-133.1279338,54.53093743
17245,778726,30463606,-133.073571,54.52063122,14816,13719616,-133.073571,54.52063122
17246,778727,27529598,-133.0192372,54.51029894,14816,13719616,-133.0192372,54.51029894
17247,778728,62931496,-132.9649324,54.49994061,14816,13719616,-132.9649324,54.49994061
17248,778729,47129428,-132.9106567,54.48955623,14816,13719616,-132.9106567,54.48955623
17249,778730,50845636,-132.8564102,54.47914584,14816,13719616,-132.8564102,54.47914584
17250,778731,81956592,-132.8021929,54.46870945,14816,13719616,-132.8021929,54.46870945
17251,778732,85802456,-132.7480048,54.45824707,14816,13719616,-132.7480048,54.45824707
17252,778733,53669620,-132.695122,54.44750803,14305.64279,13162282.27,-132.693846,54.44775874
17257,779638,21809568,-158.2537327,56.31631397,14477.03262,11548455.87,-158.255636,56.31391298
17258,779639,6344473,-158.1958103,56.31602491,14816,13719616,-158.1958103,56.31602491
17263,779644,57712460,-157.8988042,56.32429191,15111.32279,11951623.81,-157.8965812,56.32613647
17266,779647,32304966,-157.7169668,56.33184475,14816,13719616,-157.7169668,56.33184475
17267,779648,21861576,-157.6570832,56.33368771,14816,13719616,-157.6570832,56.33368771
17268,779649,80934120,-157.5971935,56.33550076,14816,13719616,-157.5971935,56.33550076
17269,779650,22653964,-157.5372981,56.3372839,14816,13719616,-157.5372981,56.3372839
17270,779651,60650056,-157.4773968,56.33903712,14816,13719616,-157.4773968,56.33903712
17271,779652,3140598,-157.4174899,56.34076042,14816,13719616,-157.4174899,56.34076042
17273,779654,65195728,-157.2976595,56.34411724,14816,13719616,-157.2976595,56.34411724
17274,779655,3319853,-157.2377362,56.34575076,14816,13719616,-157.2377362,56.34575076
17275,779656,36675968,-157.1778076,56.34735433,14816,13719616,-157.1778076,56.34735433
17277,779658,34687508,-157.057935,56.35047166,14816,13719616,-157.057935,56.35047166
17278,779659,17303902,-156.9979911,56.35198541,14816,13719616,-156.9979911,56.35198541
17279,779660,56790812,-156.9380424,56.35346921,14816,13719616,-156.9380424,56.35346921
17280,779661,36184548,-156.8780889,56.35492305,14816,13719616,-156.8780889,56.35492305
17281,779662,71377440,-156.8181307,56.35634693,14816,13719616,-156.8181307,56.35634693
17282,779663,68523112,-156.7581678,56.35774085,14816,13719616,-156.7581678,56.35774085
