,CRUISEJOIN,REGION,VESSEL,CRUISE,START_DATE,END_DATE,MIN_LATITUDE,MAX_LATITUDE,MIN_LONGITUDE,MAX_LONGITUDE,AGENCY_NAME,SURVEY_NAME,AUDITJOIN
31,120,BS,21,198202,9/1/1982 0:00,9/15/1982 0:00,56.50217,64.504,-161.491,-174.7405,USA,NORTNSOUND,110
32,121,BS,21,198203,9/24/1982 0:00,10/8/1982 0:00,54.24533,57.4,-163.43583,-170.79783,USA,NMML/GRFSH,111
33,122,BS,21,198301,2/12/1983 0:00,2/24/1983 0:00,53.7195,57.66133,-159.67517,-170.157,USA,CRAB/GRFSH,112
34,124,BS,21,198406,8/28/1984 0:00,9/7/1984 0:00,57.0345,58.19417,-161.971,-164.6475,USA,INNERFRONT,114
35,125,BS,21,198501,1/23/1985 0:00,2/14/1985 0:00,54.984,57.98933,-159.56967,-165.21367,USA,CRAB/GRFSH,115
36,126,BS,21,198504,8/5/1985 0:00,8/22/1985 0:00,55.87883,58.07383,-169.49667,-172.93867,USA,REFM/NMML,116
37,128,BS,21,198808,8/16/1988 0:00,9/22/1988 0:00,54.23833,64.6755,-161.5305,-178.96917,USA,TRIENGRFSH,118
38,135,BS,21,199110,8/31/1991 0:00,9/25/1991 0:00,54.20717,59.8615,-165.81467,-178.8305,USA,EBS  TRIEN,125
39,137,BS,26,197701,8/2/1977 0:00,8/31/1977 0:00,55.08333,58.25,-159.08333,-171.63333,USA,ICHTHPLKTN,127
40,138,BS,27,197801,6/18/1978 0:00,7/6/1978 0:00,55,60.25,-163.06667,-175.26667,USA,SHRIMP/PLK,128
41,139,BS,28,197801,6/18/1978 0:00,8/16/1978 0:00,54.9,61,-158.95,-178.25,USA,CRAB/GRFSH,129
42,140,BS,28,197901,5/22/1979 0:00,8/19/1979 0:00,54.81667,63.65,-157.98333,-178.58333,USA,USJPN COOP,130
43,141,BS,29,197801,7/4/1978 0:00,8/8/1978 0:00,55.941,57.7805,-158.066,-161.78633,USA,NMFS CLAM,131
44,142,BS,31,198001,5/12/1980 0:00,7/30/1980 0:00,54.984,61.66317,-158.29733,-178.71867,USA,CRAB/GRFSH,132
45,143,BS,37,198101,5/22/1981 0:00,7/20/1981 0:00,54.67617,59.66767,-158.35633,-170.6065,USA,CRAB/GRFSH,133
46,144,BS,37,198301,6/7/1983 0:00,8/6/1983 0:00,54.68,60.99033,-158.325,-177.55533,USA,CRAB/GRFSH,134
47,145,BS,37,198401,6/10/1984 0:00,8/10/1984 0:00,54.68967,60.99683,-158.96633,-174.12667,USA,CRAB/GRFSH,135
48,146,BS,37,198501,6/8/1985 0:00,8/7/1985 0:00,54.707,60.992,-158.32917,-174.75533,USA,CRAB/GRFSH,136
49,147,BS,37,198601,6/4/1986 0:00,7/11/1986 0:00,54.79883,61.01183,-158.31233,-173.01117,USA,CRAB/GRFSH,137
50,148,BS,37,198701,5/27/1987 0:00,7/30/1987 0:00,54.80233,61.66433,-158.3215,-178.724,USA,CRAB/GRFSH,138
51,149,BS,37,198801,6/4/1988 0:00,8/6/1988 0:00,54.8465,62.00033,-158.3265,-176.96583,USA,CRAB/GRFSH,139
52,150,BS,37,198901,6/6/1989 0:00,8/14/1989 0:00,54.70967,61.67383,-158.30767,-178.25717,USA,CRAB/GRFSH,140
53,151,BS,37,199001,6/4/1990 0:00,8/6/1990 0:00,54.68,61.96633,-158.78583,-178.09917,USA,CRAB/GRFSH,141
54,152,BS,37,199101,6/20/1991 0:00,8/13/1991 0:00,54.74267,63.31917,-162.692,-178.14967,USA,CRAB/GRFSH,142
55,153,BS,37,199201,6/6/1992 0:00,8/3/1992 0:00,54.99567,62.01117,-158.9685,-178.198,USA,CRAB/GRFSH,143
56,154,BS,38,196402,8/13/1964 0:00,9/4/1964 0:00,54.8,58.65,-157.88333,-170.13333,USA,EXPL KODK,144
57,156,BS,57,198602,6/3/1986 0:00,8/6/1986 0:00,54.69967,61.0065,-158.9725,-178.1545,USA,CRAB/GRFSH,146
58,157,BS,60,198501,7/3/1985 7:00,9/10/1985 9:00,54.47267,61.6635,-165.7275,-178.25,USA,CRAB/GRFSH,147
59,158,BS,78,198801,6/3/1988 0:00,8/6/1988 0:00,54.70817,61.91683,-159.0145,-178.16183,USA,CRAB/GRFSH,148
60,159,BS,78,198901,6/4/1989 0:00,8/14/1989 0:00,55.01233,62.00017,-158.99367,-178.74067,USA,CRAB/GRFSH,149
61,160,BS,78,199001,6/4/1990 0:00,8/6/1990 0:00,54.786,62.01917,-158.27917,-177.548,USA,CRAB/GRFSH,150
62,161,BS,78,199002,8/16/1990 0:00,9/16/1990 0:00,68.39033,72.07583,-160.421,-168.83683,USA,CHUKCHI GF,151
63,162,BS,78,199101,6/7/1991 7:00,8/7/1991 17:00,54.82467,62.653,-158.313,-175.81267,USA,CRAB/GRFSH,152
64,165,BS,87,199201,6/5/1992 0:00,8/3/1992 0:00,54.68367,61.34817,-158.31033,-177.599,USA,CRAB/GRFSH,155
65,166,BS,88,199301,6/4/1993 0:00,7/26/1993 0:00,54.665,62.00567,-158.3215,-178.23267,USA,CRAB/GRFSH,156
66,167,BS,89,199301,6/6/1993 0:00,7/26/1993 0:00,54.78067,61.98617,-159.53517,-176.91783,USA,CRAB/GRFSH,157
67,168,BS,501,196601,5/18/1966 0:00,7/18/1966 0:00,51.31667,58.86667,-160.28333,179.43333,JAPAN,JFA SURVEY,158
68,169,BS,502,196701,7/2/1967 0:00,9/5/1967 0:00,51.23333,61.03333,-160.21667,164.75,JAPAN,JFA SURVEY,159
69,170,BS,503,196801,6/21/1968 0:00,7/20/1968 0:00,55.13333,62.96667,-160.25,-172.25,JAPAN,JFA SURVEY,160
70,171,BS,504,196901,6/30/1969 0:00,9/6/1969 0:00,51.25,61.95,-159.76667,172.7,JAPAN,JFA SURVEY,161
71,172,BS,505,197001,7/2/1970 0:00,8/2/1970 0:00,55.15,61.38333,-160.25,-172.23333,JAPAN,JFA SURVEY,162
72,173,BS,506,197101,5/30/1971 0:00,6/30/1971 0:00,54.61667,59.86667,-160.23333,-175.75,JAPAN,JFA SURVEY,163
73,175,BS,508,197401,5/5/1974 0:00,6/11/1974 0:00,54.6,59.11667,-162.26667,-174.88333,JAPAN,JFA SURVEY,164
74,176,BS,508,197501,5/4/1975 0:00,7/3/1975 0:00,54.61667,60.08333,-161.8,-178.28333,JAPAN,JFA SURVEY,165
75,177,BS,508,197601,5/13/1976 0:00,7/14/1976 0:00,54.6,60.11667,-161.76667,-178.25,JAPAN,JFA SURVEY,166
76,179,BS,512,197901,6/10/1979 0:00,7/28/1979 0:00,54.31667,59.9,-160.35,-178.95,JAPAN,USJPN COOP,168
77,180,BS,513,197901,6/29/1979 0:00,8/2/1979 0:00,57,63.33333,-166.31667,-179.46667,JAPAN,USJPN COOP,169
