"","gridcode","Stratum","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"12967",97170744,"70",13.719616,-666510.2069,1368251.7754,0.20889660364,0.0023278772815,-166.72511335,61.7158715677
"12968",46530856,"70",13.719616,-662806.2069,1368251.7754,0.208905502063,0.00232834950212,-166.656100523,61.7221621675
"12969",6170345,"70",13.719616,-659102.2069,1368251.7754,0.208914296512,0.00232881938004,-166.587060014,61.7284189772
"12970",18779944,"70",13.719616,-655398.2069,1368251.7754,0.208922988738,0.00232928696424,-166.517991958,61.7346419758
"12971",975963,"70",13.719616,-651694.2069,1368251.7754,0.208931579829,0.00232975224042,-166.448896485,61.7408311437
"12972",75693472,"70",13.5769109039,-648008.905967,1368266.67405,0.20433141567,0.0023060036771,-166.380174389,61.7470866436
"12973",84498744,"70",0.483807573995,-646003.835833,1369303.65677,0.0520540825929,8.22235247585e-05,-166.346386671,61.759518834
"12974",31029558,"81",1.88500200267,-925169.757067,1366059.64363,0.148692722644,0.000314389510181,-171.457887211,61.175385126
"12975",45843976,"81",5.674098336,-921880.082269,1365605.36946,0.169287854775,0.000946421329251,-171.396422676,61.1790925015
"12976",97520680,"81",9.4632068108,-918258.615441,1365105.27782,0.189530062779,0.00157860751223,-171.328744249,61.1831430081
"12977",36678324,"81",12.9835116043,-914616.839968,1364640.72455,0.204298614966,0.00216599507236,-171.260853451,61.1875156063
"12978",45358688,"81",13.719616,-910974.2069,1364547.7754,0.207893706769,0.00228953481968,-171.194700907,61.1950657947
"12979",2128469,"81",13.719616,-907270.2069,1364547.7754,0.20791067907,0.00229014616758,-171.1278528,61.2035286487
"12980",67258808,"81",13.719616,-903566.2069,1364547.7754,0.207927515842,0.00229075559855,-171.060969175,61.2119592692
"12981",46354164,"81",13.719616,-899862.2069,1364547.7754,0.207944212746,0.00229136303753,-170.99405014,61.2203576312
"12982",29998762,"81",13.719616,-896158.2069,1364547.7754,0.207960772397,0.00229196854781,-170.927095803,61.2287237092
"12983",94726344,"81",13.719616,-892454.2069,1364547.7754,0.207977194342,0.00229257205074,-170.860106272,61.2370574775
"12984",53347300,"81",13.719616,-888750.2069,1364547.7754,0.207993479935,0.0022931735729,-170.793081656,61.2453589109
"12985",3199230,"81",13.719616,-885046.2069,1364547.7754,0.208009629108,0.00229377315014,-170.726022063,61.2536279844
"12986",39925596,"81",13.719616,-881342.2069,1364547.7754,0.208025641921,0.00229437071566,-170.658927604,61.2618646722
"12987",87427464,"81",13.719616,-877638.2069,1364547.7754,0.208041519701,0.00229496631418,-170.591798388,61.2700689494
"12988",37640192,"81",13.719616,-873934.2069,1364547.7754,0.208057262552,0.00229555991258,-170.524634526,61.2782407909
"12989",84512624,"81",10.711849472,-870628.266066,1364468.45795,0.185157654929,0.00179268031624,-170.464298412,61.2848206925
"12990",84512624,"70",3.007766528,-868812.560341,1364830.25631,0.109120286643,0.000503540806317,-170.43300874,61.2919384785
"12991",32693004,"70",13.719616,-866526.2069,1364547.7754,0.208088344959,0.00229674107118,-170.390203304,61.294487068
"12992",20663008,"70",13.719616,-862822.2069,1364547.7754,0.20810368647,0.00229732865451,-170.322936168,61.3025614528
"12993",72849832,"70",13.719616,-859118.2069,1364547.7754,0.208118892277,0.00229791417254,-170.25563483,61.3106033029
"12994",78360016,"70",13.719616,-855414.2069,1364547.7754,0.20813396748,0.00229849769499,-170.188299403,61.318612593
"12995",5581425,"70",13.719616,-851710.2069,1364547.7754,0.208148910396,0.00229907919496,-170.120929999,61.3265892983
"12996",50185720,"70",13.719616,-848006.2069,1364547.7754,0.208163719929,0.00229965863243,-170.053526731,61.3345333949
"12997",75850424,"70",13.719616,-844302.2069,1364547.7754,0.208178397658,0.00230023599436,-169.986089714,61.3424448579
"12998",77858536,"70",13.719616,-840598.2069,1364547.7754,0.20819294626,0.00230081134387,-169.918619059,61.3503236628
"12999",66044236,"70",13.719616,-836894.2069,1364547.7754,0.208207362829,0.00230138464328,-169.851114883,61.3581697851
"13000",29170424,"70",13.719616,-833190.2069,1364547.7754,0.208221652145,0.00230195591826,-169.7835773,61.3659832009
"13001",67447272,"70",13.719616,-829486.2069,1364547.7754,0.208235809456,0.00230252506349,-169.716006424,61.3737638859
"13002",68491824,"70",13.719616,-825782.2069,1364547.7754,0.208249837276,0.00230309212535,-169.648402371,61.381511816
"13003",34533092,"70",13.719616,-822078.2069,1364547.7754,0.208263738965,0.00230365715828,-169.580765257,61.3892269667
"13004",6559886,"70",13.719616,-818374.2069,1364547.7754,0.208277513671,0.00230422014155,-169.513095197,61.3969093145
"13005",35002248,"70",13.719616,-814670.2069,1364547.7754,0.20829115877,0.00230478098137,-169.445392308,61.4045588355
"13006",83228576,"70",13.719616,-810966.2069,1364547.7754,0.20830467685,0.00230533970646,-169.377656708,61.4121755053
"13007",6882738,"70",13.719616,-807262.2069,1364547.7754,0.208318068524,0.00230589636709,-169.309888514,61.4197593005
"13008",55847008,"70",13.719616,-803558.2069,1364547.7754,0.208331336908,0.00230645095027,-169.242087843,61.427310198
"13009",52263932,"70",13.719616,-799854.2069,1364547.7754,0.208344476962,0.00230700335442,-169.174254813,61.4348281735
"13010",41123712,"70",13.719616,-796150.2069,1364547.7754,0.208357492733,0.00230755367934,-169.106389542,61.4423132035
"13011",92354576,"70",13.719616,-792446.2069,1364547.7754,0.208370385241,0.00230810189926,-169.038492151,61.4497652646
"13012",64057664,"70",13.719616,-788742.2069,1364547.7754,0.208383152966,0.00230864794739,-168.970562758,61.4571843336
"13013",65912180,"70",13.719616,-785038.2069,1364547.7754,0.20839579796,0.0023091918909,-168.902601483,61.4645703873
"13014",70606184,"70",13.719616,-781334.2069,1364547.7754,0.208408322378,0.0023097337271,-168.834608444,61.4719234023
"13015",70680824,"70",13.719616,-777630.2069,1364547.7754,0.20842072161,0.00231027338484,-168.766583764,61.4792433552
"13016",57135028,"70",13.719616,-773926.2069,1364547.7754,0.208433000426,0.00231081088727,-168.698527562,61.4865302233
"13017",7999099,"70",13.719616,-770222.2069,1364547.7754,0.20844515821,0.00231134622583,-168.63043996,61.4937839838
"13018",86065496,"70",13.719616,-766518.2069,1364547.7754,0.20845719374,0.00231187939717,-168.56232108,61.5010046135
