"","X","Y","area_km2","geometry"
"483",488.515408262732,6999.80176315572,493.906176,c(488515.408262732, 6999801.76315572)
"484",510.061060584232,7005.41215211031,493.906176,c(510061.060584232, 7005412.15211031)
"485",528.823552282293,7008.92733313126,332.556888037992,c(528823.552282293, 7008927.33313126)
"486",545.946007012486,7004.71562214567,6.35571759130627,c(545946.007012486, 7004715.62214567)
"519.1",441.278390387112,6957.36802672539,14.6679245420656,c(441278.390387112, 6957368.02672539)
"520.1",451.219095987764,6967.092777466,487.179341316376,c(451219.095987764, 6967092.777466)
"521",472.602265253009,6972.7612662645,493.906176,c(472602.265253009, 6972761.2662645)
"522",494.153502025038,6978.36662784575,493.906176,c(494153.502025038, 6978366.62784575)
"523",515.702760822445,6983.9773855567,493.906176,c(515702.760822445, 6983977.3855567)
"524",537.250235612716,6989.59372472042,493.906176,c(537250.235612716, 6989593.72472042)
"525",553.454134601945,6991.95597872364,208.592913214156,c(553454.134601945, 6991955.97872364)
"526",583.475959710048,6996.18918245569,235.982535197923,c(583475.959710048, 6996189.18245569)
"527",602.085354214853,7000.579060502,225.511562159234,c(602085.354214853, 7000579.060502)
"528",623.877578005026,7003.93557274671,127.642751047228,c(623877.578005026, 7003935.57274671)
"529",641.225955650571,7006.41867547371,22.0053202255759,c(641225.955650571, 7006418.67547372)
"558.1",444.248381651324,6940.97720860121,88.2777225279622,c(444248.381651324, 6940977.20860121)
"559...144",456.68291528473,6945.72867011625,493.906176,c(456682.91528473, 6945728.67011625)
"560...145",478.239225600015,6951.32960038431,493.906176,c(478239.225600015, 6951329.60038431)
"561...146",499.793590585469,6956.93551709582,493.906176,c(499793.590585469, 6956935.51709582)
"562...147",521.346201717965,6962.54660921719,493.906176,c(521346.201717965, 6962546.60921719)
"563...148",542.897252384631,6968.16306369119,493.906176,c(542897.252384631, 6968163.06369119)
"564...149",564.08533763218,6972.72905721066,445.426918222069,c(564085.33763218, 6972729.05721067)
"565...150",586.040218279724,6979.39238686981,492.174198762136,c(586040.218279724, 6979392.38686981)
"566...151",607.539224081677,6985.03046712219,493.201111980465,c(607539.224081677, 6985030.46712219)
"567...152",629.089786654186,6990.68617695005,493.906176,c(629089.786654186, 6990686.17695005)
"568...153",650.546136842068,6996.12836415245,485.795418111884,c(650546.136842068, 6996128.36415245)
"569...154",672.246258201811,6999.87546154374,400.077469814851,c(672246.258201811, 6999875.46154374)
"570...155",689.439555168368,7002.75965494075,170.178615715163,c(689439.555168368, 7002759.65494075)
"597.1",448.537317928673,6920.15992393376,142.812259898224,c(448537.317928673, 6920159.92393376)
"598",462.319213205519,6924.29996640224,493.906176,c(462319.213205519, 6924299.96640224)
"599",483.878186198524,6929.90163898893,493.906176,c(483878.186198524, 6929901.63898893)
"600",505.435434226329,6935.5080742723,493.906176,c(505435.434226329, 6935508.0742723)
"601",526.991148310289,6941.11946270839,493.906176,c(526991.148310289, 6941119.46270839)
"602",548.545521283594,6946.73599273332,493.906176,c(548545.521283594, 6946735.99273332)
"603",570.098747821782,6952.35785082673,493.906176,c(570098.747821782, 6952357.85082673)
"604",591.651024469701,6957.98522157622,493.906176,c(591651.024469701, 6957985.22157622)
"605",613.202549664772,6963.61828774291,493.906176,c(613202.549664772, 6963618.28774291)
"606",634.753523756504,6969.2572303278,493.906176,c(634753.523756504, 6969257.2303278)
"607",656.304149022168,6974.90222863887,493.906176,c(656304.149022168, 6974902.22863887)
"608...167",677.854629678578,6980.55346035864,493.906176,c(677854.629678578, 6980553.46035864)
"609...168",692.6700442016,6985.30240641344,191.712234538214,c(692670.0442016, 6985302.40641344)
"636.1",453.643686165176,6899.66539140535,154.974089563255,c(453643.686165176, 6899665.39140535)
"637",467.957510351425,6902.8746584917,493.906176,c(467957.510351425, 6902874.6584917)
"638",489.518909378879,6908.47703459079,493.906176,c(489518.909378879, 6908477.03459079)
"639",511.078799745915,6914.08394827703,493.906176,c(511078.799745915, 6914083.94827703)
"640",532.637372038689,6919.69559137673,493.906176,c(532637.372038689, 6919695.59137673)
"641",554.194818562482,6925.31215369953,493.906176,c(554194.818562482, 6925312.15369953)
"642",575.751333371291,6930.93382309784,493.906176,c(575751.333371291, 6930933.82309784)
"643",597.307112294071,6936.56078552757,493.906176,c(597307.112294071, 6936560.78552757)
"644",618.862352957506,6942.19322510967,493.906176,c(618862.352957506, 6942193.22510966)
"645",640.41725480526,6947.83132419251,493.906176,c(640417.25480526, 6947831.32419251)
"646",661.972019113627,6953.47526341493,493.906176,c(661972.019113627, 6953475.26341493)
"647",683.526849003537,6959.12522176964,493.906176,c(683526.849003537, 6959125.22176964)
"648",704.879939904942,6963.78905268719,451.130936814903,c(704879.939904942, 6963789.05268719)
"649",725.639443251554,6967.20474581852,312.192303345484,c(725639.443251554, 6967204.74581852)
"675.1",459.850078300792,6881.78472153871,67.5053143154874,c(459850.078300792, 6881784.72153871)
"676.1",473.63806197337,6881.51929635254,491.273596134451,c(473638.06197337, 6881519.29635254)
