"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"12","1994","NBS"," [kg]",190144.844121612,72059.063363546,0.47132232000204
"13","1994","NBS"," [kg]",271378.580261876,109405.846481533,0.528646877972731
"1","1995","NBS"," [kg]",50869.9174157541,26398.5329424714,0.782356228520019
"2","1995","NBS"," [kg]",5969043.04356875,2465310.70436952,0.654197612568642
"3","1995","NBS"," [kg]",9329737.03247524,4267149.05268064,0.878971093975696
"4","1995","NBS"," [kg]",11839830.0542411,5532152.99086706,0.832628917935497
"5","1995","NBS"," [kg]",5171472.31721721,2323811.28054338,0.710400909104726
"6","1995","NBS"," [kg]",6716059.79188674,2814359.60512762,0.589942397985144
"7","1995","NBS"," [kg]",7092831.08593906,2912778.06568896,0.557195968862312
"8","1995","NBS"," [kg]",1678192.97752637,686786.260556806,0.540953630305166
"9","1995","NBS"," [kg]",1387561.69193292,581596.379794834,0.540942741646644
"10","1995","NBS"," [kg]",850815.139537187,358813.198735826,0.541674456245848
"11","1995","NBS"," [kg]",195078.760297903,77709.7321613683,0.501567960592138
"12","1995","NBS"," [kg]",156187.892887786,61975.0111365677,0.512574019085645
"13","1995","NBS"," [kg]",182055.175773163,78752.9751394839,0.593646364071269
"1","1996","NBS"," [kg]",7507.40008141314,4205.18544134111,0.862570165403198
"2","1996","NBS"," [kg]",7050208.11573102,2901395.53890745,0.654978239642759
"3","1996","NBS"," [kg]",6648965.14226606,2869848.45231847,0.811389694264565
"4","1996","NBS"," [kg]",4019688.34967725,1729233.26809554,0.739641749730706
"5","1996","NBS"," [kg]",12558966.532799,5281405.22866062,0.654970267458968
"6","1996","NBS"," [kg]",14543153.7374691,5801954.17432819,0.560496433143527
"7","1996","NBS"," [kg]",11001087.4747784,4338382.91535474,0.53692077516545
"8","1996","NBS"," [kg]",4268711.66132307,1688426.74533098,0.526209867924229
"9","1996","NBS"," [kg]",1624873.46309732,676290.054864977,0.544500732017715
"10","1996","NBS"," [kg]",527693.745260059,220034.478859252,0.541705466783223
"11","1996","NBS"," [kg]",225379.284244493,88547.1870595963,0.499849307575
"12","1996","NBS"," [kg]",141670.459680668,55987.0509155487,0.517023260058183
"13","1996","NBS"," [kg]",193856.72478659,80503.8308294467,0.576291523298767
"1","1997","NBS"," [kg]",52418.9651186348,27230.9685449418,0.80213857794456
"2","1997","NBS"," [kg]",24778817.4881961,9711253.95747212,0.617297863404989
"3","1997","NBS"," [kg]",6333589.13806451,2755270.91533492,0.835392490546327
