"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X52",7.57445218619774e-06,0.691405237335982,0.0635324745984763,0.0651055558889811,0.0545085516492165,0.0415178412488218,0.0510326890150038,0.024436560262458,0.00645416821845938,0.000976112071463428,0.000347323154462524,0.000224694293675156,0.00045121781081416,"2019","EBS"
"X53",0.00131581768782286,0.185559531067708,0.244406962372493,0.076428559008012,0.0830270287502362,0.147253702256327,0.159724998337147,0.0466821990870118,0.0324885878923932,0.0138425942266761,0.00393683907955434,0.00219723782327755,0.00313594241134085,"1994","NBS"
"X54",0.00100494239125599,0.117919286966568,0.184310270578532,0.233897512149072,0.102163164809246,0.132676708159677,0.140119878198799,0.0331529388978733,0.0274114768716812,0.0168079730473182,0.00385380841597976,0.00308551384664283,0.00359652566735545,"1995","NBS"
"X55",0.000119522201439173,0.11224343786909,0.105855414987604,0.0639957902126864,0.199946094722913,0.231535515853771,0.175143748694811,0.0679603870231417,0.0258689361514523,0.00840119314745408,0.00358817006148103,0.00225547660126111,0.00308631247289538,"1996","NBS"
"X56",0.000786249802901982,0.371665871734511,0.0949996475549467,0.0587994711727534,0.0842505731149101,0.140324666342889,0.171479176669943,0.0416402188246413,0.026769953864429,0.00438677783282365,0.00294886269510222,0.000976457778140115,0.000972072612008637,"1997","NBS"
"X57",0.000199759364817921,0.1012043144402,0.398894238082181,0.122837153557484,0.0872955582461985,0.0730005042299589,0.110747949602329,0.0539080596450076,0.0421742871448399,0.00691972772590227,0.00121627604747485,0.000944004832129232,0.000658167081477042,"1998","NBS"
"X58",0.00046556976915119,0.193958408832199,0.164653082885763,0.130047095889337,0.125225493297232,0.100601892401741,0.136519994894452,0.0697496548246249,0.0509577800999352,0.0197076102418139,0.00339268415620974,0.00308059815528378,0.00164013455225695,"1999","NBS"
"X59",0,0.208464374421585,0.0885404490153816,0.0888491644236277,0.156122735405723,0.196317219303259,0.133499961617439,0.0349679492171502,0.0598431185012719,0.0167378620719049,0.0113898047611855,0.00355817704472613,0.0017091842167449,"2000","NBS"
"X60",0.000144473985327047,0.349750345207155,0.150004381504219,0.0796146646944758,0.0528196298964051,0.110887437954506,0.150175184022948,0.0625945396357691,0.0289424640007052,0.00635155682018218,0.00520187578281782,0.00230430201466229,0.00120914448082699,"2001","NBS"
"X61",0.000782882350547514,0.10357877202731,0.13433672408799,0.185778614618076,0.19831285981516,0.106117299205536,0.134887535885891,0.0868041774922978,0.0357097764154212,0.00878876859444177,0.00262711393524615,0.000879838571393664,0.00139563700069029,"2002","NBS"
"X62",2.0830160904478e-05,0.189946886974352,0.111494033249762,0.14289645749055,0.172496549470632,0.169014601970866,0.0898720897288064,0.0641271345312004,0.0474958136231261,0.00913340113770187,0.00106583708412673,0.00089098745563832,0.00154537712233473,"2003","NBS"
"X63",0.000178950389117718,0.146345329037781,0.0941860048826073,0.142068010437129,0.100134573025078,0.159859133683628,0.187224487812072,0.0753994300154489,0.0625135880836589,0.022293250568426,0.0052067904143545,0.00281317220472173,0.00177727944597674,"2004","NBS"
"X64",1.33612995710932e-05,0.113781545986591,0.169095479484084,0.132243683640655,0.102024898265754,0.0870805928649625,0.1656928478186,0.115853168688335,0.0705404215833324,0.0277737720770339,0.00861543638172707,0.00618064751372145,0.00110414439563258,"2005","NBS"
"X65",0,0.430752416354874,0.0541896817937925,0.0530654044129138,0.0491753849337923,0.0774467487566974,0.109112055086832,0.0865983024562434,0.0907375241671589,0.0330935832364529,0.0106511772061654,0.00285020333476856,0.00232751826030845,"2006","NBS"
"X66",0,0.753954913888838,0.0550151961452136,0.022323462207661,0.0192307432148592,0.0378984829452238,0.0314501023831829,0.0274183265458587,0.0267795946158401,0.0170523444383209,0.00484715477751524,0.0020566470152029,0.00197303182228367,"2007","NBS"
"X67",0,0.291279350175873,0.254320240557643,0.0761502156383959,0.0618989628342489,0.0621503253162015,0.0740844037865363,0.0322287053869026,0.0763804536654098,0.042339631223264,0.0167583533381033,0.00716341259527534,0.00524594548214619,"2008","NBS"
"X68",0,0.819833563757771,0.0404942380669596,0.0277062664497947,0.0137875215536366,0.0138578235149937,0.019682101423977,0.0175154239993232,0.0290341904968055,0.0103033676282693,0.00479494626000265,0.00184639674475695,0.00114416010370942,"2009","NBS"
"X69",0,0.198731937864291,0.23547371725369,0.0590058317888755,0.0869429437488328,0.0750852685387693,0.081704692021143,0.0663555125680389,0.11637196235012,0.0535876239198661,0.0166645748832596,0.00853500459433847,0.00154093046877574,"2010","NBS"
"X70",0.000440541174547127,0.580975557885526,0.0399752847422316,0.0970211352002595,0.0497470186559489,0.0910016060741557,0.0658532088815418,0.0235565748284951,0.0280022403586664,0.0123260425466367,0.00699308946195958,0.00249911265050302,0.00160858753952826,"2011","NBS"
"X71",0,0.387702796689552,0.158660497696676,0.0314811634121977,0.158599611026157,0.0960321194936278,0.0947144930137943,0.0303595085478576,0.0222483670981695,0.0147421942869849,0.00383189050220294,0.000652485158727228,0.000974873074053426,"2012","NBS"
"X72",0,0.142284522736323,0.212312659633395,0.134527568651377,0.114710245152229,0.203574234320039,0.128939213933989,0.035162500866898,0.0209490450098975,0.00480314929366735,0.000930382570377425,0.000825079397179664,0.000981398434627573,"2013","NBS"
"X73",6.86876466885203e-05,0.323522879274976,0.126698654450371,0.153651709313313,0.199760423621616,0.0844304937894967,0.076854135368235,0.0224918164071934,0.00739978070525069,0.00223761811246534,0.0016911843833682,0.000131865327118281,0.00106075159990748,"2014","NBS"
"X74",4.4020047161982e-05,0.0655094439546034,0.343691054183181,0.162667647058437,0.228292841113726,0.134902215330317,0.0332516204151523,0.0221139229146503,0.00740809428321375,0.00109588382574518,0.000500831255402695,0.000160140798289979,0.000362284820118833,"2015","NBS"
"X75",3.45453591039764e-06,0.0376852050096164,0.0735707334135651,0.283400973019933,0.245037007959479,0.250935147825846,0.0797591640568601,0.0191988981839993,0.00761687022954736,0.00181394013211677,0.000579302671420237,0.000235934462517161,0.000163368499188981,"2016","NBS"
"X76",6.19880823175289e-05,0.0486080428928635,0.163992181095479,0.115314076181318,0.285584612450824,0.241540259776504,0.100132800008211,0.0347235440469014,0.00581833048177876,0.00271184898998349,0.000571146711316265,0.000340773053263682,0.00060039622924009,"2017","NBS"
"X77",3.017399800104e-05,0.0420564413330097,0.0786343164023217,0.22886714918555,0.17470442346049,0.35051030621284,0.0971921424661042,0.0243722640530549,0.00177400149485305,0.00118813710028427,0.000288571877160509,7.63036585013499e-05,0.000305768757829564,"2018","NBS"
"X78",9.48967485138833e-06,0.321781530824615,0.124927676504741,0.103603830705728,0.134883565099571,0.11783779063443,0.144752560424659,0.0415201005121523,0.00722284051091877,0.00159401516291879,0.000391109317715947,0.000118105624430393,0.00135738500326849,"2019","NBS"
